,home,away,date,match_type,venue,time_of_match,toss,winner,man_of_match,outcome
0,Royal Challengers Bangalore,Kolkata Knight Riders,"18th April, 2008",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Kolkata Knight Riders,Brendon McCullum,0
1,Kings XI Punjab,Chennai Super Kings,"19th April, 2008",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Michael Hussey,0
2,Delhi Daredevils,Rajasthan Royals,"19th April, 2008",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Rajasthan Royals,Delhi Daredevils,Farveez Maharoof,1
3,Kolkata Knight Riders,Deccan Chargers,"20th April, 2008",league,"Eden Gardens, Kolkata",Day/Night Match,Deccan Chargers,Kolkata Knight Riders,David Hussey,1
4,Mumbai Indians,Royal Challengers Bangalore,"20th April, 2008",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Royal Challengers Bangalore,Mark Boucher,0
5,Rajasthan Royals,Kings XI Punjab,"21st April, 2008",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Kings XI Punjab,Rajasthan Royals,Shane Watson,1
6,Deccan Chargers,Delhi Daredevils,"22nd April, 2008",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Deccan Chargers,Delhi Daredevils,Virender Sehwag,0
7,Chennai Super Kings,Mumbai Indians,"23rd April, 2008",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Mumbai Indians,Chennai Super Kings,Matthew Hayden,1
8,Deccan Chargers,Rajasthan Royals,"24th April, 2008",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Yusuf Pathan,0
9,Kings XI Punjab,Mumbai Indians,"25th April, 2008",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Mumbai Indians,Kings XI Punjab,Kumar Sangakkara,1
10,Chennai Super Kings,Kolkata Knight Riders,"26th April, 2008",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Kolkata Knight Riders,Chennai Super Kings,Jacob Oram,1
11,Royal Challengers Bangalore,Rajasthan Royals,"26th April, 2008",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Shane Watson,0
12,Kings XI Punjab,Delhi Daredevils,"27th April, 2008",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Delhi Daredevils,Kings XI Punjab,Simon Katich,1
13,Mumbai Indians,Deccan Chargers,"27th April, 2008",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Deccan Chargers,Deccan Chargers,Adam Gilchrist,0
14,Royal Challengers Bangalore,Chennai Super Kings,"28th April, 2008",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Chennai Super Kings,Chennai Super Kings,M S Dhoni,0
15,Kolkata Knight Riders,Mumbai Indians,"29th April, 2008",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Mumbai Indians,Sanath Jayasuriya,0
16,Delhi Daredevils,Royal Challengers Bangalore,"30th April, 2008",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Royal Challengers Bangalore,Delhi Daredevils,Glenn McGrath,1
